Month,Number of Stations,No. of Ports,Unique Drivers,Energy (MWh),No. of Sessions
"January, 2016",6,12,83,2.095,300
"February, 2016",6,12,77,2.05,280
"March, 2016",6,12,79,1.935,275
"April, 2016",6,12,73,1.798,265
"May, 2016",6,12,84,1.807,306
"June, 2016",6,12,85,1.817,319
"July, 2016",6,12,103,2.211,343
"August, 2016",6,12,96,2.169,357
"September, 2016",6,12,74,2.149,334
"October, 2016",6,12,89,2.182,370
"November, 2016",6,12,98,2.136,334
"December, 2016",6,12,135,3.105,438
"January, 2017",6,12,108,2.503,390
"February, 2017",6,12,108,2.398,366
"March, 2017",6,12,107,2.703,419
"April, 2017",6,12,108,2.223,366
"May, 2017",6,12,104,2.531,410
"June, 2017",6,12,104,2.701,485
"July, 2017",6,12,117,3.271,472
"August, 2017",6,12,101,2.472,449
Total,6,12,1933,46.256,7278
